Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,1,0.6,1,0.6,03-04-2020
03-06-2020,1,0.6,0,0,03-05-2020
03-07-2020,2,1.1,1,0.5,03-06-2020
03-08-2020,2,1.1,0,0,03-07-2020
03-09-2020,3,1.7,1,0.6,03-08-2020
03-10-2020,3,1.7,0,0,03-09-2020
03-11-2020,5,2.8,2,1.1,03-10-2020
03-12-2020,6,3.4,1,0.6,03-11-2020
03-13-2020,8,4.5,2,1.1,03-12-2020
03-14-2020,9,5.1,1,0.6,03-13-2020
03-15-2020,12,6.8,3,1.7,03-14-2020
03-16-2020,17,9.6,5,2.8,03-15-2020
03-17-2020,31,17.5,14,7.9,03-16-2020
03-18-2020,41,23.2,10,5.7,03-17-2020
03-19-2020,48,27.2,7,4,03-18-2020
03-20-2020,55,31.1,7,3.9,03-19-2020
03-21-2020,60,33.9,5,2.8,03-20-2020
03-22-2020,68,38.5,8,4.6,03-21-2020
03-23-2020,79,44.7,11,6.2,03-22-2020
03-24-2020,93,52.6,14,7.9,03-23-2020
03-25-2020,108,61.1,15,8.5,03-24-2020
03-26-2020,122,69,14,7.9,03-25-2020
03-27-2020,132,74.3,10,5.3,03-26-2020
03-28-2020,149,83.9,17,9.6,03-27-2020
